"message_id","F09F918D","F09F9881","F09FA4AE","E29DA4","F09FA4AC","F09F918F","F09F918E","F09FA4A3","F09F92A9","F09FA4A1","F09F94A5","F09F928A","F09FA494","F09F92AF","F09F98A2","F09F98B1","F09F998F","F09F918C","F09F9695","F09F958A","F09F9988","F09FA4AF","F09F98A1","F09F8DBE","F09FA4B7","other"
25398,902,0,1,28,0,0,0,0,0,0,4,0,0,161,0,3,0,0,0,0,0,0,1,0,0,14
29638,902,0,0,23,0,0,0,0,0,0,0,0,0,116,0,4,0,0,0,0,0,0,0,0,0,2
31748,901,0,1,92,3,60,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,27
33162,900,0,2,39,0,4,1,0,0,1,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,1
23198,899,0,0,147,0,28,3,0,1,1,1,0,0,0,0,0,6,0,0,69,0,0,0,0,0,0
24425,898,64,0,17,0,38,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
23252,897,2,0,36,0,18,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
24888,897,13,0,22,0,135,0,11,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
32305,897,43,0,151,0,63,0,0,0,14,0,0,7,0,0,2,0,5,0,0,0,0,0,0,5,6
32195,896,67,0,7,0,26,0,248,2,0,0,0,0,19,0,0,0,19,0,0,0,0,0,0,0,0
31943,895,0,16,0,0,85,0,0,0,0,18,0,0,15,0,0,0,1,0,0,0,7,5,0,0,1
23322,894,1,0,34,0,22,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0
26086,894,0,0,44,0,39,0,0,0,0,0,0,2,182,1,0,0,2,0,0,0,0,0,0,1,0
22097,893,13,6,4,0,87,0,0,0,9,0,18,0,40,0,0,0,0,0,0,0,0,0,0,1,0
26343,893,0,0,28,0,2,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0
23517,892,0,0,43,0,95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25936,890,0,47,14,0,85,0,0,0,1,0,0,0,26,0,0,0,0,1,0,0,0,0,0,0,3
35861,890,3,0,54,0,33,0,0,0,10,0,0,5,22,0,0,0,0,0,0,8,0,0,0,2,0
36237,890,20,22,14,0,48,32,0,0,0,0,12,75,17,0,7,0,4,0,0,0,0,0,0,0,0
29478,889,0,0,0,0,42,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,26,0,2
29630,889,0,0,25,0,80,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,4,0
25030,888,22,7,4,0,97,0,0,55,1,11,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0
29659,887,0,3,240,0,73,0,0,0,1,0,0,4,20,0,0,3,3,0,0,0,0,0,0,0,1
23800,886,12,0,184,0,109,0,0,0,0,1,0,0,24,0,0,0,17,0,0,0,0,0,0,1,1
24683,884,22,0,0,0,51,0,89,0,25,0,0,5,5,0,0,0,0,0,352,0,0,0,0,3,20
24090,883,37,0,13,0,111,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
28237,883,0,1,135,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,19
30649,882,0,0,31,0,9,1,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
23226,880,0,0,48,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
31285,880,0,0,153,0,66,4,5,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
