"","src_username","dst_username","mean_forward_time","mode_forward_time","sd_forward_time","n_records","ratio_below_t","left_ratio","bar_color"
"117","slovanskenoviny","MGzpravy",4.20719710930637,4.5,0.515945027944289,352,0.0142045454545455,30.3282734258664,"red"
"118","slovanskenoviny","kanalklubunekonvencnemysliacich",3.70610707669081,5,1.03427802789665,21,0.238095238095238,1.95512471654476,"darkgreen"
"119","slovanskenoviny","pravdavzdyvitazi",3.00515507834801,3.5,0.8107557760255,1046,0.282026768642447,1.05778436846904,"darkgreen"
"120","slovanskenoviny","slovanskenoviny",5.96992666285575,7,0.811446489108043,143,0,0,"darkgreen"
"121","smebratia","ksbspravy",1.93260819050848,1.5,0.646497586977102,48,0.791666666666667,0.977450360645456,"black"
"122","smebratia","smebratia",5.04990138035324,6.5,1.54927959289442,11,0.0909090909090909,1.82197069795859,"grey"
"123","stranaSNS","investigativnyblogSK",3.19210781657258,3.5,0.785503828896858,48,0.1875,0.991372608864333,"darkgreen"
"124","stranaSNS","mimisramova",2.89492811749538,3,0.669742500083715,69,0.27536231884058,0.991562614790663,"darkgreen"
"125","stranaSNS","slovanskenoviny",2.8497449386839,3.5,1.01937811829734,50,0.38,1.03892417313715,"darkgreen"
"126","stranaSNS","smebratia",3.08125402141315,3,0.853858256827924,59,0.254237288135593,1.02507369226409,"darkgreen"
"127","stranaSNS","vsetkyspravy",3.73692272314576,3.5,0.876670543419809,89,0.0898876404494382,1.13591594637266,"darkgreen"
"128","tvotv_sk","kanalklubunekonvencnemysliacich",3.15622740868381,4,0.916055984531787,54,0.240740740740741,1.01628103580066,"darkgreen"
"129","tvotv_sk","pravdavzdyvitazi",3.19066319279612,2.5,0.835585344070581,15,0.266666666666667,1.30563655347866,"grey"
"130","vsetkyspravy","vsetkyspravy",0.621441993929574,1,0.248544260981376,5,1,1.00000000000002,"grey"
"131","zemavek","MGzpravy",3.44850154105007,3,0.970440011512283,8,0.25,1.52265176987587,"grey"
"132","zemavek","coNemateVedet",2.72579585022523,2.5,0.628164737959885,7,0.428571428571429,1.19170753450615,"grey"
"133","zemavek","investigativnyblogSK",3.57833768634507,4,0.589646895722867,32,0.0625,1.85372618307392,"darkgreen"
"134","zemavek","kanalklubunekonvencnemysliacich",3.24398333357114,5,1.0740618878606,52,0.307692307692308,1.25971975912351,"darkgreen"
"135","zemavek","milan_uhrik",3.39786975944723,3.5,0.852169911639137,8,0,0,"grey"
"136","zemavek","mimisramova",2.9768235128763,3,0.78415570358576,241,0.265560165975104,0.977871125385253,"darkgreen"
"137","zemavek","smebratia",3.32444404513487,3,0.924340932347468,187,0.192513368983957,1.03381643040532,"darkgreen"
"138","zemavek","vsetkyspravy",3.60957876375946,4,0.852442127097142,22,0.0454545454545455,0.470941093053574,"darkgreen"
"139","zemavek","zemavek",4.9132227112314,5,0.361380488332173,18,0,0,"grey"
