"message_id","F09F918D","F09F9881","E29DA4","F09F918F","F09F918E","F09FA4A3","F09FA494","F09FA4B7","other"
124442,106,0,0,0,0,1,0,0,0
126207,106,1,0,0,0,0,0,0,0
126741,106,0,15,28,0,2,0,0,0
129304,106,1,11,28,0,0,0,0,0
138644,106,0,3,0,0,0,0,0,0
139945,106,12,0,3,0,5,0,0,0
142882,106,0,4,6,0,0,0,0,0
144183,106,0,20,0,0,4,6,0,35
147711,106,0,22,9,0,3,4,0,0
149238,106,0,28,1,1,0,0,0,0
112276,105,0,2,14,0,0,0,0,35
112532,105,0,4,17,0,0,1,0,0
112791,105,0,0,0,0,2,4,0,0
113871,105,0,0,0,0,0,4,0,0
114719,105,0,9,0,0,0,7,0,0
117016,105,1,2,5,0,0,0,0,10
120727,105,0,11,0,0,2,0,0,0
122196,105,0,35,0,0,0,0,0,0
124621,105,0,5,0,0,0,10,0,0
126614,105,3,27,2,0,0,0,0,0
127354,105,0,0,0,0,8,3,0,0
128579,105,0,18,5,0,1,4,0,0
130509,105,0,26,8,1,37,0,9,0
131498,105,19,13,7,0,0,0,0,0
132649,105,0,13,26,2,6,6,0,0
133012,105,0,0,2,0,0,0,0,0
133898,105,0,1,2,19,12,0,0,0
135994,105,0,0,0,0,5,0,0,0
136739,105,0,7,7,0,0,0,0,11
137387,105,0,0,12,0,1,10,0,0
138474,105,0,24,0,0,0,0,0,0
139258,105,0,0,20,0,4,0,0,0
140298,105,36,0,0,0,0,0,0,0
141470,105,0,0,19,0,0,7,0,0
142449,105,0,0,0,0,2,0,0,0
145799,105,0,1,8,0,0,0,0,4
146474,105,0,0,2,0,7,0,0,1
149079,105,0,2,0,1,1,0,0,22
149126,105,0,36,10,1,0,0,0,1
113801,104,1,7,0,0,21,0,0,0
113879,104,0,4,21,0,0,0,0,0
125032,104,0,51,7,0,0,0,0,0
125336,104,0,9,20,0,0,0,0,0
128113,104,0,30,9,0,0,0,0,0
132769,104,0,1,0,1,8,18,0,0
135394,104,3,7,31,0,1,0,0,0
135566,104,0,24,4,1,0,0,0,0
137004,104,0,36,0,0,0,0,0,0
144935,104,0,13,21,0,0,0,0,0
148879,104,0,2,0,0,0,0,0,2
112329,103,0,4,17,0,5,26,0,0
114204,103,0,18,11,0,0,0,0,0
114678,103,0,0,0,0,0,0,0,18
116291,103,0,34,6,0,0,0,0,0
124239,103,0,11,2,0,0,0,0,0
124513,103,0,15,8,0,0,0,0,0
