"","message_id","hex_u_emo","count","Emoji","Unicode.codepoint","Occurrences","Position","Negative","Neutral","Positive","Substituted","negative_norm","neutral_norm","positive_norm","neutral","positive","negative"
"3743",90848,"E29DA4",1,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,0.165714285714286,0.790186335403727,0.0440993788819876
"3744",90848,"F09F918D",4,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,0.992448759439051,2.54800431499461,0.459546925566343
"3745",90848,"F09F98B1",25,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,7.05752212389381,11.3495575221239,6.5929203539823
"3746",90849,"F09F918D",6,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,1.48867313915858,3.82200647249191,0.689320388349514
"3747",90849,"F09F9881",36,"😁",128513,2189,0.796151187,278,648,1263,"",0.126998629511192,0.296025582457743,0.576975788031064,10.6569209684788,20.7711283691183,4.57195066240292
"3748",90850,"E29DA4",1,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,0.165714285714286,0.790186335403727,0.0440993788819876
"3749",90850,"F09F918D",5,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,1.24056094929881,3.18500539374326,0.574433656957929
"3750",90850,"F09F9881",30,"😁",128513,2189,0.796151187,278,648,1263,"",0.126998629511192,0.296025582457743,0.576975788031064,8.8807674737323,17.3092736409319,3.80995888533577
"3751",90851,"E29DA4",16,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,2.65142857142857,12.6429813664596,0.705590062111801
"3752",90851,"F09F918D",39,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,9.67637540453075,24.8430420711974,4.48058252427184
"3753",90852,"F09F918D",3,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,0.744336569579288,1.91100323624595,0.344660194174757
"3754",90852,"F09F98B1",15,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,4.23451327433628,6.80973451327434,3.95575221238938
"3755",90853,"F09F918D",7,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,1.73678532901834,4.45900755124056,0.8042071197411
"3756",90854,"F09F98B1",22,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,6.21061946902655,9.98761061946903,5.80176991150443
"3757",90859,"F09F98B1",11,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,3.10530973451327,4.99380530973451,2.90088495575221
"3758",90860,"F09F9881",13,"😁",128513,2189,0.796151187,278,648,1263,"",0.126998629511192,0.296025582457743,0.576975788031064,3.84833257195066,7.50068524440384,1.6509821836455
"3759",90860,"F09F98B1",1,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,0.282300884955752,0.453982300884956,0.263716814159292
"3760",90861,"F09F918D",7,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,1.73678532901834,4.45900755124056,0.8042071197411
"3761",90862,"F09F918D",35,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,8.68392664509169,22.2950377562028,4.0210355987055
"3762",90863,"E29DA4",5,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,0.828571428571429,3.95093167701863,0.220496894409938
"3763",90863,"F09F918D",39,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,9.67637540453075,24.8430420711974,4.48058252427184
"3764",90864,"F09F918D",1,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,0.248112189859763,0.637001078748652,0.114886731391586
"3765",90864,"F09F98B1",14,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,3.95221238938053,6.35575221238938,3.69203539823009
"3766",90865,"F09F918D",10,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,2.48112189859763,6.37001078748652,1.14886731391586
"3767",90865,"F09F9881",39,"😁",128513,2189,0.796151187,278,648,1263,"",0.126998629511192,0.296025582457743,0.576975788031064,11.544997715852,22.5020557332115,4.9529465509365
"3768",90866,"E29DA4",33,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,5.46857142857143,26.076149068323,1.45527950310559
"3769",90866,"F09F918D",5,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,1.24056094929881,3.18500539374326,0.574433656957929
"3770",90867,"E29DA4",1,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,0.165714285714286,0.790186335403727,0.0440993788819876
"3771",90867,"F09F918D",2,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,0.496224379719525,1.2740021574973,0.229773462783172
"3772",90867,"F09F98A2",2,"😢",128546,749,0.813896833,288,168,293,"",0.384512683578104,0.224299065420561,0.391188251001335,0.448598130841121,0.78237650200267,0.769025367156208
"3773",90867,"F09F98B1",15,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,4.23451327433628,6.80973451327434,3.95575221238938
"3774",90868,"F09F918D",34,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,8.43581445523193,21.6580366774542,3.90614886731392
"3775",90870,"E29DA4",2,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,0.331428571428571,1.58037267080745,0.0881987577639751
"3776",90870,"F09F918D",46,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,11.4131607335491,29.302049622438,5.28478964401295
"3777",90871,"E29DA4",29,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,4.80571428571429,22.9154037267081,1.27888198757764
"3778",90871,"F09F918D",4,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,0.992448759439051,2.54800431499461,0.459546925566343
"3779",90872,"F09F918D",30,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,7.44336569579288,19.1100323624595,3.44660194174757
"3780",90873,"F09F918D",31,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,7.69147788565264,19.7470334412082,3.56148867313916
"3781",90873,"F09F9881",1,"😁",128513,2189,0.796151187,278,648,1263,"",0.126998629511192,0.296025582457743,0.576975788031064,0.296025582457743,0.576975788031064,0.126998629511192
"3782",90874,"E29DA4",69,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,11.4342857142857,54.5228571428571,3.04285714285714
"3783",90874,"F09F918D",18,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,4.46601941747573,11.4660194174757,2.06796116504854
"3784",90875,"F09F918D",11,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,2.72923408845739,7.00701186623517,1.26375404530744
"3785",90875,"F09F98B1",4,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,1.12920353982301,1.81592920353982,1.05486725663717
"3786",90876,"F09F918D",32,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,7.93959007551241,20.3840345199568,3.67637540453074
"3787",90877,"E29DA4",29,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,4.80571428571429,22.9154037267081,1.27888198757764
"3788",90877,"F09F918D",6,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,1.48867313915858,3.82200647249191,0.689320388349514
"3789",90878,"E29DA4",31,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,5.13714285714286,24.4957763975155,1.36708074534161
"3790",90878,"F09F918D",1,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,0.248112189859763,0.637001078748652,0.114886731391586
"3791",90879,"E29DA4",53,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,8.78285714285714,41.8798757763975,2.33726708074534
"3792",90879,"F09F918D",15,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,3.72168284789644,9.55501618122977,1.72330097087379
"3793",90880,"E29DA4",29,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,4.80571428571429,22.9154037267081,1.27888198757764
"3794",90880,"F09F918D",8,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,1.9848975188781,5.09600862998921,0.919093851132686
"3795",90881,"F09F918D",51,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,12.6537216828479,32.4870550161812,5.85922330097087
"3796",90882,"F09F918D",48,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,11.9093851132686,30.5760517799353,5.51456310679612
"3797",90883,"E29DA4",12,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,1.98857142857143,9.48223602484472,0.529192546583851
"3798",90883,"F09F918D",47,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,11.6612729234088,29.9390507011866,5.39967637540453
"3799",90883,"F09F9881",4,"😁",128513,2189,0.796151187,278,648,1263,"",0.126998629511192,0.296025582457743,0.576975788031064,1.18410232983097,2.30790315212426,0.507994518044769
"3800",90884,"E29DA4",1,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,0.165714285714286,0.790186335403727,0.0440993788819876
"3801",90884,"F09F918D",40,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,9.92448759439051,25.4800431499461,4.59546925566343
"3802",90885,"F09F98B1",7,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,1.97610619469027,3.17787610619469,1.84601769911504
"3803",90886,"F09F918D",1,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,0.248112189859763,0.637001078748652,0.114886731391586
"3804",90886,"F09F98B1",7,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,1.97610619469027,3.17787610619469,1.84601769911504
"3805",90887,"F09F9881",1,"😁",128513,2189,0.796151187,278,648,1263,"",0.126998629511192,0.296025582457743,0.576975788031064,0.296025582457743,0.576975788031064,0.126998629511192
"3806",90887,"F09F98A2",1,"😢",128546,749,0.813896833,288,168,293,"",0.384512683578104,0.224299065420561,0.391188251001335,0.224299065420561,0.391188251001335,0.384512683578104
"3807",90887,"F09F98B1",22,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,6.21061946902655,9.98761061946903,5.80176991150443
